artist_id,artist_name,artist_genres,artist_followers,artist_popularity
6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock']",4595585,75
3ohcHMuUq1717s8AH17hfT,The White Buffalo,['new americana'],414344,61
5xLSa7l4IV1gsQfhAMvl0U,B.B. King,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",2359829,65
55Pp4Ns5VfTSFsBraW7MQy,Skee-Lo,"['hip hop', 'rap', 'west coast rap']",49754,55
0TkqXdyWLsssJH7okthMPQ,Jay Electronica,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'psychedelic hip hop', 'rap', 'southern hip hop', 'underground hip hop']",237329,59
5lc3ISF4CNThZEtJ2N4ZH6,Kora,"['kiwi rock', 'nz reggae', 'pacific islands pop']",70536,48
7krx6UBDKLwE0q3s3fesqF,C & C Music Factory,"['diva house', 'eurodance', 'hip house']",178999,56
33LSz2nhC8pCPTb3pd5add,Hot Flash Heat Wave,"['indie garage rock', 'indie pop', 'indie surf', 'surf punk']",90717,53
5e4Dhzv426EvQe3aDb64jL,Shania Twain,"['canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop']",2388773,74
7dnB1wSxbYa8CejeVg98hz,Meat Loaf,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']",739512,64
3S9VOVAAECM8pdNr5p7c2J,The Blue Diamonds,"['indorock', 'nederpop', 'vintage dutch pop']",7954,38
5p9HO3XC5P3BLxJs5Mtrhm,Djo,['psychedelic pop'],131060,56
77AKJs9SJqxHXbPgtJPKRa,King Geedorah,"['alternative hip hop', 'hardcore hip hop', 'hip hop']",129866,52
6mLDXLOEh4fcvxm5ICKfhE,Lord,"['australian metal', 'australian thrash metal']",2245,20
4P70aqttdpJ9vuYFDmf7f6,Vangelis,"['cyberpunk', 'new age', 'synthesizer']",445931,62
39vhAmLwYOIzrPkvVYNdq9,October Country,[],13409,43
0SD4eZCN4Kr0wQk56hCdh2,Bonnie Tyler,"['europop', 'new wave pop', 'soft rock']",1323281,69
3sLeazIw2jhX90UbaDSYPy,Ben Botfield,['acoustic chill'],3066,40
1glS4fPaSC5EgMTnOsiXif,Mainland,['brooklyn indie'],11579,36
3v3VSKylQE69ztn5TUVlFE,Nile,"['brutal death metal', 'death metal', 'metal', 'oriental metal', 'south carolina metal', 'technical death metal']",180592,43
6QtGlUje9TIkLrgPZrESuk,Steve Miller Band,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock']",2193022,68
1m7LSAMIB1BErIHYSOn32W,DJ Scheme,"['meme rap', 'underground hip hop', 'vapor trap']",172234,69
0mopUs7SL5szuPOcOsS73A,Georgie Fame & The Blue Flames,"['british blues', 'british invasion', 'freakbeat', 'merseybeat']",8304,36
28hJdGN1Awf7u3ifk2lVkg,Testament,"['alternative metal', 'death metal', 'groove metal', 'hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",771301,57
6bUJpbekaIlq2fT5FMV2mQ,Wavves,"['indie garage rock', 'indie punk', 'indie rock', 'indie surf', 'lo-fi', 'modern rock', 'noise pop', 'noise rock', 'nu gaze', 'san diego indie', 'surf punk']",227709,51
4OrrjMGltjy6ojX6034f8u,Steeleye Span,"['british folk', 'celtic', 'celtic rock', 'classic uk pop', 'folk', 'folk rock', 'traditional british folk']",42373,42
6AQEfqGPSxZX0nJVonYxi6,Inner Wave,"['indie garage rock', 'indie pop', 'neo-psychedelic']",144200,59
4m4SfDVbF5wxrwEjDKgi4k,Cher Lloyd,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'social media pop', 'talent show', 'viral pop']",2455073,66
0iHb0mCbqZTYeb4y9Pirrd,Temple Of The Dog,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'rock', 'supergroup']",950074,59
4jRq9On9S1F6JkTebaZHqE,Nell Mescal,['irish singer-songwriter'],5472,28
7kIbB1pdDyehFj8aNgfzfH,Ameer Vann,['underground hip hop'],106028,49
0jgAONnsHxrwAlhkMUVS78,Eddie Rabbitt,"['classic country pop', 'country', 'country rock', 'mellow gold', 'soft rock']",276817,56
